subject_name,subject_type,relation_type,object_name,object_type
数列的图象的定义,数学实体,相关于,数列,数学实体
整体变换,数学实体,相关于,数列,数学实体
数列的首项的定义,数学实体,相关于,数列,数学实体
对数变换,数学实体,相关于,数列,数学实体
数列与解析几何综合,数学实体,相关于,数列,数学实体
数列的项的定义,数学实体,相关于,数列,数学实体
根据前n项和式和n项积式求通项,数学实体,相关于,数列,数学实体
观察法求通项,数学实体,相关于,数列,数学实体
配凑法求通项,数学实体,相关于,数列,数学实体
数列与函数的综合,数学实体,相关于,数列,数学实体
数列的公差的定义,数学实体,相关于,数列,数学实体
裂项相消法,数学实体,相关于,数列,数学实体
数列与三角函数综合,数学实体,相关于,数列,数学实体
数列与立体几何综合,数学实体,相关于,数列,数学实体
数列模型的实际应用,数学实体,相关于,数列,数学实体
换元代换,数学实体,相关于,数列,数学实体
等差数列的判定,数学实体,相关于,数列,数学实体
分组转化法,数学实体,相关于,数列,数学实体
倒序相加法,数学实体,相关于,数列,数学实体
数列与向量综合,数学实体,相关于,数列,数学实体
数列与不等式综合,数学实体,相关于,数列,数学实体
"等差数列,等比数列公式求通项",数学实体,相关于,数列,数学实体
数列前n项和的定义,数学实体,相关于,数列,数学实体
解析式法的定义,数学实体,相关于,数列,数学实体
等比数列的公比的定义,数学实体,相关于,数列,数学实体
图象法,数学实体,部分于,数列,数学实体
项,数学实体,部分于,数列,数学实体
表格法,数学实体,部分于,数列,数学实体
递推公式,数学实体,部分于,数列,数学实体
等差中项,数学实体,部分于,数列,数学实体
通项,数学实体,部分于,数列,数学实体
首项,数学实体,部分于,数列,数学实体
通项公式,数学实体,部分于,数列,数学实体
解析法,数学实体,部分于,数列,数学实体
等比中项,数学实体,部分于,数列,数学实体
求和,数学实体,部分于,数列,数学实体
计算公式,数学实体,相关于,系数,数学实体
步骤,数学实体,相关于,系数,数学实体
待定系数法,数学实体,相关于,系数,数学实体
单项式除以单项式,数学实体,相关于,系数,数学实体
解一元一次方程的一般步骤,数学实体,相关于,系数,数学实体
解一元一次不等式的一般步骤,数学实体,相关于,系数,数学实体
二项式定理中的赋值法,数学实体,相关于,系数,数学实体
单项式的系数的定义,数学实体,相关于,系数,数学实体
合并同类项的法则,数学实体,相关于,系数,数学实体
单项式与单项式相乘,数学实体,相关于,系数,数学实体
约分法则,数学实体,相关于,系数,数学实体
求最简公分母的步骤,数学实体,相关于,系数,数学实体
一般式直线方程的定义,数学实体,相关于,系数,数学实体
系数,数学实体,部分于,代数式,数学实体
系数,数学实体,部分于,方程,数学实体
数学期望,数学实体,部分于,离散型随机变量,数学实体
离散型随机变量的均值的定义,数学实体,相关于,离散型随机变量,数学实体
离散型随机变量的概率分布列的定义,数学实体,相关于,离散型随机变量,数学实体
离散型随机变量的标准差的定义,数学实体,相关于,离散型随机变量,数学实体
离散型随机变量,数学实体,属于,随机变量,数学实体
必然现象的定义,数学实体,相关于,确定性现象,数学实体
判定,数学实体,相关于,内错角,数学实体
平行的性质,数学实体,相关于,内错角,数学实体
内错角,数学实体,属于,角,数学实体
有理数的乘法的定义,数学实体,相关于,乘法,数学实体
被乘数,数学实体,部分于,乘法,数学实体
乘数,数学实体,部分于,乘法,数学实体
矩阵乘法的性质,数学实体,相关于,乘法,数学实体
表示,数学实体,相关于,解集,数学实体
一元一次不等式的解集的定义,数学实体,相关于,解集,数学实体
一元二次不等式的解集的定义,数学实体,相关于,解集,数学实体
数轴表示,数学实体,相关于,解集,数学实体
一元一次不等式组的解集的定义,数学实体,相关于,解集,数学实体
不等式的解集的定义,数学实体,相关于,解集,数学实体
解集,数学实体,属于,集合,数学实体
解集,数学实体,部分于,不等式,数学实体
单调性,数学实体,相关于,余弦函数,数学实体
单调性,数学实体,相关于,余弦函数,数学实体
奇偶性,数学实体,相关于,余弦函数,数学实体
最值,数学实体,相关于,余弦函数,数学实体
最值,数学实体,相关于,余弦函数,数学实体
余弦函数,数学实体,属于,三角函数,数学实体
线索类型,语文实体,包含于,空间,数学实体
截面,数学实体,相关于,空间,数学实体
平移的定义,数学实体,相关于,空间,数学实体
距离公式,数学实体,相关于,空间,数学实体
方向向量,数学实体,相关于,空间,数学实体
空间向量线性运算的性质,数学实体,相关于,空间,数学实体
球坐标系的定义,数学实体,相关于,空间,数学实体
基本定理,数学实体,相关于,空间,数学实体
空间直角坐标系的点的坐标的定义,数学实体,相关于,空间,数学实体
空间,数学实体,包括,方向,数学实体
空间,数学实体,包括,位置,生物实体
空间,数学实体,包括,距离,数学实体
一次函数的性质,数学实体,相关于,线性函数,数学实体
一次函数的性质,数学实体,相关于,线性函数,数学实体
一次函数的性质,数学实体,相关于,线性函数,数学实体
一次函数的性质,数学实体,相关于,线性函数,数学实体
一次函数的性质,数学实体,相关于,线性函数,数学实体
一次函数的性质,数学实体,相关于,线性函数,数学实体
正比例函数,数学实体,属于,线性函数,数学实体
一次函数图像的性质,数学实体,相关于,线性函数,数学实体
一般形式,数学实体,相关于,线性函数,数学实体
一次函数的定义,数学实体,相关于,线性函数,数学实体
线性函数,数学实体,属于,函数,数学实体
分类,数学实体,相关于,棱锥,数学实体
正棱锥,数学实体,属于,棱锥,数学实体
五棱锥,数学实体,属于,棱锥,数学实体
三棱锥,数学实体,属于,棱锥,数学实体
四棱锥,数学实体,属于,棱锥,数学实体
棱锥,数学实体,属于,多面体,数学实体
棱锥,数学实体,属于,锥体,数学实体
垂线,数学实体,属于,直线,数学实体
渐近线,数学实体,属于,直线,数学实体
切线,数学实体,属于,直线,数学实体
对称轴,数学实体,属于,直线,数学实体
公垂线,数学实体,属于,直线,数学实体
斜线,数学实体,属于,直线,数学实体
割线,数学实体,属于,直线,数学实体
共面直线,数学实体,属于,直线,数学实体
异面直线,数学实体,属于,直线,数学实体
平行线,数学实体,属于,直线,数学实体
垂直平分线,数学实体,属于,直线,数学实体
法线,数学实体,属于,直线,数学实体
准线,数学实体,属于,直线,数学实体
切点弦,数学实体,属于,直线,数学实体
割线定理,数学实体,相关于,直线,数学实体
函数对称变换的性质,数学实体,相关于,直线,数学实体
一次函数图像的性质,数学实体,相关于,直线,数学实体
判定,数学实体,相关于,直线,数学实体
判定,数学实体,相关于,直线,数学实体
判定,数学实体,相关于,直线,数学实体
判定,数学实体,相关于,直线,数学实体
判定,数学实体,相关于,直线,数学实体
判定,数学实体,相关于,直线,数学实体
判定,数学实体,相关于,直线,数学实体
判定,数学实体,相关于,直线,数学实体
表示,数学实体,相关于,直线,数学实体
表示,数学实体,相关于,直线,数学实体
应用,数学实体,相关于,直线,数学实体
截面,数学实体,相关于,直线,数学实体
圆切线的性质,数学实体,相关于,直线,数学实体
圆切线的性质,数学实体,相关于,直线,数学实体
距离公式,数学实体,相关于,直线,数学实体
公理,数学实体,相关于,直线,数学实体
公理,数学实体,相关于,直线,数学实体
定点直线系方程,数学实体,相关于,直线,数学实体
画法,数学实体,相关于,直线,数学实体
画法,数学实体,相关于,直线,数学实体
画法,数学实体,相关于,直线,数学实体
画法,数学实体,相关于,直线,数学实体
画法,数学实体,相关于,直线,数学实体
方向向量,数学实体,相关于,直线,数学实体
几何意义,数学实体,相关于,直线,数学实体
传递性,数学实体,相关于,直线,数学实体
相同点,数学实体,相关于,直线,数学实体
位置关系,数学实体,相关于,直线,数学实体
位置关系,数学实体,相关于,直线,数学实体
位置关系,数学实体,相关于,直线,数学实体
位置关系,数学实体,相关于,直线,数学实体
位置关系,数学实体,相关于,直线,数学实体
三垂线定理,数学实体,相关于,直线,数学实体
平行线等分线段定理,数学实体,相关于,直线,数学实体
平行线分线段成比例定理,数学实体,相关于,直线,数学实体
面面垂直的性质,数学实体,相关于,直线,数学实体
面面垂直的性质,数学实体,相关于,直线,数学实体
面面垂直的性质,数学实体,相关于,直线,数学实体
不同点,数学实体,相关于,直线,数学实体
不同点,数学实体,相关于,直线,数学实体
图象,数学实体,相关于,直线,数学实体
切割线定理,数学实体,相关于,直线,数学实体
交点坐标,数学实体,相关于,直线,数学实体
斜率公式,数学实体,相关于,直线,数学实体
截距式直线方程的定义,数学实体,相关于,直线,数学实体
直线与平面平行的定义,数学实体,相关于,直线,数学实体
斜线在平面内的射影的定义,数学实体,相关于,直线,数学实体
双曲线的通径的定义,数学实体,相关于,直线,数学实体
圆的切线的定义,数学实体,相关于,直线,数学实体
直线和平面的距离的定义,数学实体,相关于,直线,数学实体
相离的定义,数学实体,相关于,直线,数学实体
平摆线的定义,数学实体,相关于,直线,数学实体
面面平行的性质,数学实体,相关于,直线,数学实体
两点式直线方程的定义,数学实体,相关于,直线,数学实体
异面直线互相垂直的定义,数学实体,相关于,直线,数学实体
椭圆的通径的定义,数学实体,相关于,直线,数学实体
点斜式直线方程的定义,数学实体,相关于,直线,数学实体
图像变换,数学实体,相关于,直线,数学实体
直线倾斜角的性质,数学实体,相关于,直线,数学实体
两直线的夹角的定义,数学实体,相关于,直线,数学实体
共点直线系方程,数学实体,相关于,直线,数学实体
椭圆中的弦长与面积,数学实体,相关于,直线,数学实体
曲边梯形面积的性质,数学实体,相关于,直线,数学实体
二面角的棱的定义,数学实体,相关于,直线,数学实体
向量平行的性质,数学实体,相关于,直线,数学实体
直线方程的定义,数学实体,相关于,直线,数学实体
三线八角,数学实体,相关于,直线,数学实体
圆的割线的定义,数学实体,相关于,直线,数学实体
曲线的切线的定义,数学实体,相关于,直线,数学实体
线段的定比分点,数学实体,相关于,直线,数学实体
立体几何中的向量方法,数学实体,相关于,直线,数学实体
最小角定理,数学实体,相关于,直线,数学实体
直线与圆的方程的应用,数学实体,相关于,直线,数学实体
圆的切线方程,数学实体,相关于,直线,数学实体
抛物线的准线的定义,数学实体,相关于,直线,数学实体
平行的性质,数学实体,相关于,直线,数学实体
两个平行平面的公垂线的定义,数学实体,相关于,直线,数学实体
平面的法向量的定义,数学实体,相关于,直线,数学实体
平行直线系方程,数学实体,相关于,直线,数学实体
点到直线的距离 的定义,数学实体,相关于,直线,数学实体
直线的垂面的定义,数学实体,相关于,直线,数学实体
线与圆位置关系的性质,数学实体,相关于,直线,数学实体
线段的端点的定义,数学实体,相关于,直线,数学实体
双曲线中的弦长与面积,数学实体,相关于,直线,数学实体
圆的切线的判定,数学实体,相关于,直线,数学实体
平面公理推论,数学实体,相关于,直线,数学实体
切线长,数学实体,相关于,直线,数学实体
第二定义,数学实体,相关于,直线,数学实体
直线相关对称问题,数学实体,相关于,直线,数学实体
抛物线中的弦长与面积,数学实体,相关于,直线,数学实体
直线的参数方程的定义,数学实体,相关于,直线,数学实体
矩形的性质,数学实体,相关于,直线,数学实体
直线被圆截得的弦长,数学实体,相关于,直线,数学实体
垂直直线系方程,数学实体,相关于,直线,数学实体
直线的倾斜角的定义,数学实体,相关于,直线,数学实体
直线的极坐标方程的定义,数学实体,相关于,直线,数学实体
直线与圆位置关系的性质,数学实体,相关于,直线,数学实体
平面的斜线的定义,数学实体,相关于,直线,数学实体
垂直的定义,数学实体,相关于,直线,数学实体
斜截式直线方程的定义,数学实体,相关于,直线,数学实体
平行线间的距离的定义,数学实体,相关于,直线,数学实体
两直线平行的定义,数学实体,相关于,直线,数学实体
二面角的面的定义,数学实体,相关于,直线,数学实体
直线与直线位置关系的性质,数学实体,相关于,直线,数学实体
平面的垂线的定义,数学实体,相关于,直线,数学实体
直线的斜率的定义,数学实体,相关于,直线,数学实体
直线公理,数学实体,相关于,直线,数学实体
两异面直线的公垂线的定义,数学实体,相关于,直线,数学实体
直线过定点问题,数学实体,相关于,直线,数学实体
距离,数学实体,相关于,直线,数学实体
直线和圆相交的定义,数学实体,相关于,直线,数学实体
三角形的高线的定义,数学实体,相关于,直线,数学实体
一次函数的性质,数学实体,相关于,直线,数学实体
基本特征,数学实体,相关于,直线,数学实体
直线斜率的性质,数学实体,相关于,直线,数学实体
平行公理,数学实体,相关于,直线,数学实体
圆锥曲线与直线位置关系的性质,数学实体,相关于,直线,数学实体
直线与平面垂直的定义,数学实体,相关于,直线,数学实体
矩阵反射变换的性质,数学实体,相关于,直线,数学实体
平面公理,数学实体,相关于,直线,数学实体
距离,数学实体,部分于,直线,数学实体
公垂线,数学实体,部分于,直线,数学实体
倾斜角,数学实体,部分于,直线,数学实体
截距式,数学实体,部分于,直线,数学实体
斜截式,数学实体,部分于,直线,数学实体
点斜式,数学实体,部分于,直线,数学实体
一般式,数学实体,部分于,直线,数学实体
截距,数学实体,部分于,直线,数学实体
两点式,数学实体,部分于,直线,数学实体
斜率,数学实体,部分于,直线,数学实体
夹角,数学实体,部分于,直线,数学实体
相离于,数学实体,右相关于,直线,数学实体
相离于,数学实体,左相关于,直线,数学实体
距离,数学实体,左相关于,直线,数学实体
直线,数学实体,属于,线,数学实体
指数函数,数学实体,属于,函数,数学实体
四棱台,数学实体,属于,棱台,数学实体
圆台,数学实体,属于,旋转体,数学实体
倒数变换,数学实体,相关于,对数,数学实体
对数不等式的解法,数学实体,相关于,对数,数学实体
底数,数学实体,部分于,对数,数学实体
真数,数学实体,部分于,对数,数学实体
分类,数学实体,相关于,棱柱,数学实体
棱柱的底面的定义,数学实体,相关于,棱柱,数学实体
正棱柱,数学实体,属于,棱柱,数学实体
四棱柱,数学实体,属于,棱柱,数学实体
直棱柱,数学实体,属于,棱柱,数学实体
棱柱的侧面的定义,数学实体,相关于,棱柱,数学实体
三棱柱,数学实体,属于,棱柱,数学实体
五棱柱,数学实体,属于,棱柱,数学实体
棱柱,数学实体,属于,柱体,数学实体
棱柱,数学实体,属于,多面体,数学实体
向量正交分解的定义,数学实体,相关于,正交分解,数学实体
向量的减法的定义,数学实体,相关于,相反向量,数学实体
相反向量,数学实体,属于,向量,数学实体
平均数的性质,数学实体,相关于,中点,数学实体
梯形的中位线的定义,数学实体,相关于,中点,数学实体
中点公式,数学实体,相关于,中点,数学实体
直线相关对称问题,数学实体,相关于,中点,数学实体
线段的中点的定义,数学实体,相关于,中点,数学实体
矩形的性质,数学实体,相关于,中点,数学实体
三角形的中位线的定义,数学实体,相关于,中点,数学实体
三角形的中线的定义,数学实体,相关于,中点,数学实体
中点,数学实体,部分于,线段,数学实体
中点,数学实体,属于,点,数学实体
公式,数学实体,相关于,圆周,数学实体
平摆线的定义,数学实体,相关于,圆周,数学实体
圆周,数学实体,属于,轨迹,数学实体
最小正周期的定义,数学实体,相关于,周期,地理实体
最小周期,数学实体,属于,周期,地理实体
恒星日,地理实体,属于,周期,地理实体
太阳日,地理实体,属于,周期,地理实体
地球公转,地理实体,试题限制,周期,地理实体
地球自转,地理实体,试题限制,周期,地理实体
恒星年,地理实体,属于,周期,地理实体
回归年,地理实体,属于,周期,地理实体
周期,地理实体,部分于,周期函数,数学实体
步骤,数学实体,相关于,旋转角,数学实体
相同点,数学实体,相关于,旋转角,数学实体
旋转角,数学实体,属于,角,数学实体
旋转角,数学实体,部分于,旋转,数学实体
内容,数学实体,相关于,大衍求一术,数学实体
随机数法,数学实体,属于,简单随机抽样,数学实体
判定,数学实体,相关于,旋转,数学实体
截面,数学实体,相关于,旋转,数学实体
不同点,数学实体,相关于,旋转,数学实体
旋转角,数学实体,部分于,旋转,数学实体
角的始边的定义,数学实体,相关于,旋转,数学实体
旋转中心,数学实体,部分于,旋转,数学实体
角的顶点的定义,数学实体,相关于,旋转,数学实体
内部,数学实体,相关于,旋转,数学实体
球坐标系的定义,数学实体,相关于,旋转,数学实体
角的终边的定义,数学实体,相关于,旋转,数学实体
矩阵旋转变换的性质,数学实体,相关于,旋转,数学实体
外部,数学实体,相关于,旋转,数学实体
正方体的性质,数学实体,相关于,正方形,数学实体
正方形的判定,数学实体,相关于,正方形,数学实体
圆外切四边形的性质,数学实体,相关于,正方形,数学实体
正方形,数学实体,属于,菱形,数学实体
正方形,数学实体,属于,长方形,数学实体
正方形,数学实体,属于,正多边形,数学实体
根,数学实体,属于,解,数学实体
整数解,数学实体,属于,解,数学实体
同解变形,数学实体,相关于,解,数学实体
方程与曲线关系的性质,数学实体,相关于,解,数学实体
换元法的定义,数学实体,相关于,解,数学实体
关系,数学实体,相关于,解,数学实体
直线方程的定义,数学实体,相关于,解,数学实体
一元一次不等式的整数解的定义,数学实体,相关于,解,数学实体
一元一次不等式的解集的定义,数学实体,相关于,解,数学实体
方程的解的定义,数学实体,相关于,解,数学实体
一元二次方程的解的定义,数学实体,相关于,解,数学实体
解分式方程的一般步骤,数学实体,相关于,解,数学实体
不等式的解集的定义,数学实体,相关于,解,数学实体
消元思想的定义,数学实体,相关于,解,数学实体
解三角形应用-距离问题,数学实体,相关于,解,数学实体
待定系数法步骤,数学实体,相关于,解,数学实体
求曲线的方程,数学实体,相关于,解,数学实体
方程的根的定义,数学实体,相关于,解,数学实体
二元一次方程组的解的定义,数学实体,相关于,解,数学实体
解三角形应用-角度问题,数学实体,相关于,解,数学实体
不等式的解的定义,数学实体,相关于,解,数学实体
二元一次方程的解的定义,数学实体,相关于,解,数学实体
一元一次不等式组的解集的定义,数学实体,相关于,解,数学实体
三元一次方程的解的定义,数学实体,相关于,解,数学实体
二元一次方程组的解的性质,数学实体,相关于,解,数学实体
一元一次不等式组的整数解的定义,数学实体,相关于,解,数学实体
三元一次方程组的解的定义,数学实体,相关于,解,数学实体
二元一次不等式的解的定义,数学实体,相关于,解,数学实体
利用导数求参数的范围,数学实体,相关于,解,数学实体
线性规划的可行解的定义,数学实体,相关于,解,数学实体
解三角形应用-高度问题,数学实体,相关于,解,数学实体
圆的切线方程,数学实体,相关于,解,数学实体
一元二次不等式的解集的定义,数学实体,相关于,解,数学实体
交点坐标,数学实体,相关于,解,数学实体
一元二次不等式的解的定义,数学实体,相关于,解,数学实体
解一元一次不等式的一般步骤,数学实体,相关于,解,数学实体
解,数学实体,属于,数,数学实体
解,数学实体,部分于,不等式组,数学实体
解,数学实体,部分于,方程组,数学实体
解,数学实体,部分于,不等式,数学实体
解,数学实体,部分于,方程,数学实体
分段函数,数学实体,属于,函数,数学实体
几何意义,数学实体,相关于,绝对值,数学实体
几何意义,数学实体,相关于,绝对值,数学实体
含绝对值不等式的解法,数学实体,相关于,绝对值,数学实体
含有两个(或两个以上)绝对值的不等式的解法,数学实体,相关于,绝对值,数学实体
法则,数学实体,相关于,绝对值,数学实体
绝对值,数学实体,部分于,数,数学实体
绝对值,数学实体,属于,数,数学实体
面积法,数学实体,属于,证明方法,数学实体
综合法,数学实体,属于,证明方法,数学实体
反证法,数学实体,属于,证明方法,数学实体
分析法,数学实体,属于,证明方法,数学实体
综合分析法,数学实体,属于,证明方法,数学实体
二面角的棱的定义,数学实体,相关于,半平面,数学实体
二面角的平面角的定义,数学实体,相关于,半平面,数学实体
二面角的面的定义,数学实体,相关于,半平面,数学实体
内接三角形,数学实体,属于,三角形,数学实体
直角三角形,数学实体,属于,三角形,数学实体
不等边三角形,数学实体,属于,三角形,数学实体
等腰三角形,数学实体,属于,三角形,数学实体
外切三角形,数学实体,属于,三角形,数学实体
相似三角形,数学实体,属于,三角形,数学实体
焦点三角形,数学实体,属于,三角形,数学实体
斜三角形,数学实体,属于,三角形,数学实体
三角形的外角和的定义,数学实体,相关于,三角形,数学实体
表示方法,地理实体,相关于,三角形,数学实体
中位线定理,数学实体,相关于,三角形,数学实体
内角和定理,数学实体,相关于,三角形,数学实体
边边边定理,数学实体,相关于,三角形,数学实体
角边角定理,数学实体,相关于,三角形,数学实体
角角边定理,数学实体,相关于,三角形,数学实体
正弦定理,数学实体,相关于,三角形,数学实体
射影定理,数学实体,相关于,三角形,数学实体
步骤,数学实体,相关于,三角形,数学实体
一次函数的性质,数学实体,相关于,三角形,数学实体
坐标,数学实体,相关于,三角形,数学实体
边角边定理,数学实体,相关于,三角形,数学实体
余弦定理,数学实体,相关于,三角形,数学实体
外角和定理,数学实体,相关于,三角形,数学实体
公式,数学实体,相关于,三角形,数学实体
公式,数学实体,相关于,三角形,数学实体
公式,数学实体,相关于,三角形,数学实体
分类,数学实体,相关于,三角形,数学实体
分类,数学实体,相关于,三角形,数学实体
等角对等边,数学实体,相关于,三角形,数学实体
圆的内接三角形的定义,数学实体,相关于,三角形,数学实体
三角形的垂心的定义,数学实体,相关于,三角形,数学实体
整体变换,数学实体,相关于,三角形,数学实体
三角形的外角的定义,数学实体,相关于,三角形,数学实体
稳定性,数学实体,相关于,三角形,数学实体
三角形的角平分线的定义,数学实体,相关于,三角形,数学实体
三角形的角的定义,数学实体,相关于,三角形,数学实体
三角形的高线的定义,数学实体,相关于,三角形,数学实体
三角形的重心的定义,数学实体,相关于,三角形,数学实体
直角三角形的判定,数学实体,相关于,三角形,数学实体
勾股定理的逆定理,数学实体,相关于,三角形,数学实体
海伦公式,数学实体,相关于,三角形,数学实体
三角形的外心的定义,数学实体,相关于,三角形,数学实体
三角形的中线的定义,数学实体,相关于,三角形,数学实体
三角形的外接圆的定义,数学实体,相关于,三角形,数学实体
三角形的内心的定义,数学实体,相关于,三角形,数学实体
椭圆的焦点三角形的定义,数学实体,相关于,三角形,数学实体
判定,数学实体,相关于,三角形,数学实体
全等三角形的对应顶点的定义,数学实体,相关于,三角形,数学实体
三角形的边的定义,数学实体,相关于,三角形,数学实体
全等三角形的对应角的定义,数学实体,相关于,三角形,数学实体
三角形法则,数学实体,相关于,三角形,数学实体
圆的外切三角形的定义,数学实体,相关于,三角形,数学实体
三角形的顶点的定义,数学实体,相关于,三角形,数学实体
全等三角形的对应边的定义,数学实体,相关于,三角形,数学实体
三角形的中位线的定义,数学实体,相关于,三角形,数学实体
内角平分线定理,数学实体,相关于,三角形,数学实体
三角形的内切圆的定义,数学实体,相关于,三角形,数学实体
双曲线的焦点三角形的定义,数学实体,相关于,三角形,数学实体
等边三角形的判定,数学实体,相关于,三角形,数学实体
正三角形的定义,数学实体,相关于,三角形,数学实体
旁心,数学实体,部分于,三角形,数学实体
中线,地理实体,部分于,三角形,数学实体
垂心,数学实体,部分于,三角形,数学实体
重心,数学实体,部分于,三角形,数学实体
外心,数学实体,部分于,三角形,数学实体
底,数学实体,部分于,三角形,数学实体
中位线,数学实体,部分于,三角形,数学实体
角平分线,数学实体,部分于,三角形,数学实体
内心,数学实体,部分于,三角形,数学实体
三角形,数学实体,属于,多边形,数学实体
对立事件,数学实体,属于,事件,数学实体
复数的实部的定义,数学实体,相关于,实部,数学实体
实部,数学实体,属于,数,数学实体
实部,数学实体,部分于,复数,数学实体
分类,数学实体,相关于,钝角,数学实体
钝角,数学实体,属于,角,数学实体
内容,数学实体,相关于,九章算术,数学实体
单调性,数学实体,相关于,正切函数,数学实体
奇偶性,数学实体,相关于,正切函数,数学实体
正切函数,数学实体,属于,三角函数,数学实体
圆周角定理,数学实体,相关于,圆周角,数学实体
弦切角定理,数学实体,相关于,圆周角,数学实体
范围,数学实体,相关于,圆周角,数学实体
圆周角,数学实体,属于,角,数学实体
不同点,数学实体,相关于,中心投影,数学实体
中心投影,数学实体,属于,投影,数学实体
步骤,数学实体,相关于,收集,数学实体
收集数据的性质,数学实体,相关于,收集,数学实体
分类,数学实体,相关于,收集,数学实体
收集,数学实体,部分于,数据,数学实体
分类,数学实体,相关于,周角,数学实体
周角,数学实体,属于,角,数学实体
一次函数的性质,数学实体,相关于,坐标原点,数学实体
象限角,数学实体,相关于,坐标原点,数学实体
空间直角坐标系的原点的定义,数学实体,相关于,坐标原点,数学实体
轴线角,数学实体,相关于,坐标原点,数学实体
坐标原点,数学实体,部分于,坐标系,数学实体
相等,数学实体,相关于,直角坐标,数学实体
直角坐标,数学实体,部分于,点,数学实体
授官,语文实体,包括,除,数学实体
定点直线系方程,数学实体,相关于,除,数学实体
圆与圆位置关系的性质,数学实体,相关于,除,数学实体
圆与圆位置关系的性质,数学实体,相关于,除,数学实体
除法法则,数学实体,相关于,除,数学实体
共点直线系方程,数学实体,相关于,除,数学实体
单项式除以单项式,数学实体,相关于,除,数学实体
有理数的混合运算的定义,数学实体,相关于,除,数学实体
线段式,地理实体,属于,比例尺,地理实体
数字式,地理实体,属于,比例尺,地理实体
文字式,地理实体,属于,比例尺,地理实体
比例尺,地理实体,部分于,地图,地理实体
比例尺,地理实体,试题限制,表示方法,地理实体
几何平均数,数学实体,属于,数,数学实体
步骤,数学实体,相关于,公理,数学实体
公理,数学实体,相关于,公理,数学实体
公理,数学实体,相关于,公理,数学实体
公理,数学实体,相关于,公理,数学实体
不同点,数学实体,相关于,公理,数学实体
公理,数学实体,相关于,平面,数学实体
公理,数学实体,相关于,公理,数学实体
公理,数学实体,相关于,线,数学实体
公理,数学实体,相关于,面,数学实体
公理,数学实体,相关于,点,数学实体
公理,数学实体,相关于,直线,数学实体
公理,数学实体,相关于,平面,数学实体
公理,数学实体,相关于,公理,数学实体
公理,数学实体,相关于,线,数学实体
公理,数学实体,相关于,直线,数学实体
公理,数学实体,相关于,平行于,数学实体
公理,数学实体,相关于,点,数学实体
公理,数学实体,相关于,相交于,数学实体
公理,数学实体,相关于,面,数学实体
公理,数学实体,相关于,交线,数学实体
公理,数学实体,相关于,公理,数学实体
公理,数学实体,相关于,面,数学实体
公理,数学实体,相关于,点,数学实体
公理,数学实体,相关于,平面,数学实体
公理,数学实体,相关于,线,数学实体
公理,数学实体,属于,真命题,数学实体
斜线在平面内的射影的定义,数学实体,相关于,垂足,数学实体
三角形的高线的定义,数学实体,相关于,垂足,数学实体
二面角的平面角的定义,数学实体,相关于,垂足,数学实体
点到平面的距离的定义,数学实体,相关于,垂足,数学实体
垂足,数学实体,属于,点,数学实体
双曲线离心率的性质,数学实体,相关于,实轴,数学实体
复数实轴的性质,数学实体,相关于,实轴,数学实体
双曲线的通径的定义,数学实体,相关于,实轴,数学实体
双曲线的离心率的定义,数学实体,相关于,实轴,数学实体
复平面内实轴的定义,数学实体,相关于,实轴,数学实体
五棱台,数学实体,属于,棱台,数学实体
频率分布直方图的性质,数学实体,相关于,数据,数学实体
计算公式,数学实体,相关于,数据,数学实体
步骤,数学实体,相关于,数据,数学实体
步骤,数学实体,相关于,数据,数学实体
步骤,数学实体,相关于,数据,数学实体
意义,数学实体,相关于,数据,数学实体
相同点,数学实体,相关于,数据,数学实体
相同点,数学实体,相关于,数据,数学实体
相同点,数学实体,相关于,数据,数学实体
缺点,数学实体,相关于,数据,数学实体
平均数的性质,数学实体,相关于,数据,数学实体
平均数的性质,数学实体,相关于,数据,数学实体
平均数的性质,数学实体,相关于,数据,数学实体
平均数的性质,数学实体,相关于,数据,数学实体
数据输入,数学实体,相关于,数据,数学实体
波动情况,数学实体,相关于,数据,数学实体
收集数据的性质,数学实体,相关于,数据,数学实体
整理数据的性质,数学实体,相关于,数据,数学实体
不同点,数学实体,相关于,数据,数学实体
分类,数学实体,相关于,数据,数学实体
分布情况,数学实体,相关于,数据,数学实体
分组原则,数学实体,相关于,数据,数学实体
收集,数学实体,部分于,数据,数学实体
整理,数学实体,部分于,数据,数学实体
三棱柱,数学实体,属于,棱柱,数学实体
正多边形的中心的定义,数学实体,相关于,正多边形,数学实体
正五边形,数学实体,属于,正多边形,数学实体
正方形,数学实体,属于,正多边形,数学实体
正六边形,数学实体,属于,正多边形,数学实体
正多边形的中心角的定义,数学实体,相关于,正多边形,数学实体
边心距,数学实体,部分于,正多边形,数学实体
正多边形的边心距的定义,数学实体,相关于,正多边形,数学实体
中心角,数学实体,相关于,正多边形,数学实体
半径,数学实体,部分于,正多边形,数学实体
正多边形的半径的定义,数学实体,相关于,正多边形,数学实体
中心,数学实体,部分于,正多边形,数学实体
外切正n边形,数学实体,相关于,正多边形,数学实体
内接正n边形,数学实体,相关于,正多边形,数学实体
正多边形,数学实体,属于,多边形,数学实体
截面,数学实体,相关于,母线,数学实体
公式,数学实体,相关于,母线,数学实体
公式,数学实体,相关于,母线,数学实体
公式,数学实体,相关于,母线,数学实体
公式,数学实体,相关于,母线,数学实体
